Project_Duration,Team_Size,Experience_Level,Complexity_Score,Client_Rating,Project_Status
7,2,8,4,2,Delayed
20,17,2,6,5,Delayed
15,13,5,2,2,Delayed
11,15,7,5,5,Successful
8,7,8,1,1,Delayed
21,7,1,6,3,Delayed
7,14,6,6,2,Delayed
19,9,1,4,3,Delayed
23,3,2,8,5,Delayed
11,2,1,4,2,Delayed
11,16,5,8,4,Delayed
21,2,9,8,3,Delayed
4,6,6,5,2,Delayed
8,17,1,4,3,Delayed
3,5,1,2,2,Delayed
22,4,2,3,1,Delayed
21,18,9,3,3,Successful
2,18,3,4,4,Delayed
12,13,1,4,4,Delayed
6,15,5,5,5,Successful
2,7,7,4,2,Delayed
21,4,6,8,3,Delayed
1,10,1,6,5,Delayed
12,6,5,6,3,Successful
22,18,5,8,2,Delayed
12,15,6,7,4,Successful
17,4,3,8,1,Delayed
10,2,5,2,4,Successful
16,2,7,9,5,Delayed
15,4,5,1,1,Delayed
15,19,5,8,5,Delayed
19,11,5,4,2,Delayed
12,4,3,4,1,Delayed
23,9,1,5,5,Delayed
20,15,5,8,2,Delayed
3,19,9,5,4,Successful
5,16,1,8,2,Delayed
19,3,3,1,3,Delayed
7,11,4,9,2,Delayed
21,3,1,6,2,Delayed
9,18,1,3,3,Delayed
7,9,8,8,5,Delayed
18,2,2,9,5,Delayed
4,10,8,6,2,Delayed
14,12,7,7,3,Successful
18,17,2,1,3,Delayed
9,8,6,5,4,Successful
21,11,6,5,5,Successful
2,4,3,4,1,Delayed
20,19,2,6,5,Delayed
15,14,1,7,5,Delayed
7,8,6,9,4,Delayed
12,5,5,1,1,Delayed
8,14,9,6,4,Successful
15,2,1,7,1,Delayed
3,9,7,3,2,Delayed
14,15,5,8,1,Delayed
17,17,5,5,4,Successful
4,15,2,9,5,Delayed
18,13,3,5,1,Delayed
8,16,7,9,1,Delayed
4,3,6,4,3,Successful
2,3,2,9,5,Delayed
6,18,6,5,2,Delayed
22,11,2,9,4,Delayed
10,7,2,3,2,Delayed
4,16,2,4,5,Delayed
22,12,3,9,1,Delayed
18,6,2,6,1,Delayed
12,2,4,2,5,Delayed
2,9,9,7,1,Delayed
10,13,6,2,1,Delayed
4,13,1,2,1,Delayed
14,6,8,1,4,Successful
16,8,7,3,4,Successful
15,5,3,6,3,Delayed
8,7,1,8,2,Delayed
14,14,5,9,5,Delayed
23,16,4,7,5,Delayed
8,4,8,4,5,Successful
21,9,1,6,3,Delayed
16,17,1,5,4,Delayed
13,14,4,8,3,Delayed
18,19,8,1,5,Successful
15,11,5,1,2,Delayed
21,18,2,6,1,Delayed
13,6,6,2,4,Successful
9,10,5,5,4,Successful
15,13,2,1,3,Delayed
13,2,3,7,4,Delayed
1,2,9,1,5,Successful
7,16,7,4,5,Successful
9,3,7,9,3,Delayed
1,17,6,1,5,Successful
12,9,8,4,2,Delayed
8,14,4,6,3,Delayed
11,2,8,6,2,Delayed
19,17,4,8,1,Delayed
17,8,8,1,2,Delayed
8,6,9,7,1,Delayed
3,4,3,1,1,Delayed
3,13,3,7,2,Delayed
1,17,2,3,3,Delayed
5,6,3,8,5,Delayed
10,15,3,3,5,Delayed
7,6,5,1,1,Delayed
9,16,5,8,1,Delayed
7,18,2,3,3,Delayed
9,15,6,2,4,Successful
8,6,5,1,2,Delayed
12,13,6,3,1,Delayed
2,17,1,2,5,Delayed
1,17,5,2,3,Successful
16,8,9,6,2,Delayed
23,5,2,1,3,Delayed
23,2,1,2,2,Delayed
5,6,9,6,2,Delayed
3,11,9,3,1,Delayed
12,6,9,4,3,Successful
8,5,6,1,3,Successful
22,3,8,8,5,Delayed
3,11,1,7,5,Delayed
1,2,4,7,1,Delayed
3,6,1,3,1,Delayed
5,14,8,3,4,Successful
15,5,1,2,5,Delayed
14,17,3,1,2,Delayed
3,17,4,7,3,Delayed
1,3,8,7,1,Delayed
5,18,6,2,3,Successful
23,13,7,7,3,Successful
14,19,8,8,4,Delayed
7,4,2,1,5,Delayed
9,2,8,9,1,Delayed
15,2,3,7,3,Delayed
15,12,7,3,1,Delayed
10,6,3,8,2,Delayed
13,13,7,7,4,Successful
19,4,2,8,2,Delayed
7,2,6,6,1,Delayed
17,2,3,9,1,Delayed
20,9,3,5,5,Delayed
4,11,9,3,3,Successful
5,12,7,3,3,Successful
23,13,5,1,2,Delayed
7,14,7,8,4,Delayed
13,13,9,2,3,Successful
15,15,1,3,5,Delayed
11,3,7,8,2,Delayed
4,19,6,8,2,Delayed
13,4,9,4,5,Successful
7,18,1,4,4,Delayed
19,9,4,5,5,Delayed
22,11,9,6,4,Successful
2,3,4,5,5,Delayed
10,10,3,7,5,Delayed
13,8,9,2,1,Delayed
21,5,2,7,2,Delayed
6,19,4,7,5,Delayed
12,14,6,1,5,Successful
12,12,2,7,3,Delayed
20,5,8,5,2,Delayed
11,5,8,3,3,Successful
23,11,1,3,2,Delayed
7,6,3,4,3,Delayed
1,10,9,2,5,Successful
1,4,5,2,5,Successful
20,18,6,1,1,Delayed
13,4,4,5,3,Delayed
9,17,2,4,4,Delayed
3,5,8,2,1,Delayed
7,19,6,3,3,Successful
6,18,5,7,3,Successful
8,8,9,7,1,Delayed
9,6,1,4,5,Delayed
5,13,5,5,3,Successful
1,18,6,5,5,Successful
19,14,5,6,1,Delayed
10,4,6,9,5,Delayed
12,10,6,2,2,Delayed
15,18,7,5,4,Successful
22,18,4,3,3,Delayed
9,17,8,4,4,Successful
20,14,7,6,5,Successful
17,18,9,8,3,Delayed
17,5,7,1,5,Successful
20,13,3,8,2,Delayed
12,10,3,7,1,Delayed
7,13,8,1,3,Successful
2,10,5,2,2,Delayed
3,8,4,3,2,Delayed
17,15,8,1,3,Successful
5,16,6,9,5,Delayed
17,17,2,8,2,Delayed
17,6,4,2,4,Delayed
17,4,4,9,2,Delayed
2,13,6,7,5,Successful
2,5,6,9,5,Delayed
22,17,1,6,4,Delayed
23,8,8,6,2,Delayed
5,14,6,4,5,Successful
1,11,3,2,3,Delayed
1,8,9,7,1,Delayed
19,15,2,5,1,Delayed
2,6,8,6,1,Delayed
21,4,3,2,2,Delayed
12,12,5,5,4,Successful
6,12,6,4,5,Successful
23,19,6,9,3,Delayed
4,16,4,6,3,Delayed
23,13,3,2,2,Delayed
11,10,4,1,1,Delayed
17,11,1,5,2,Delayed
6,13,4,9,4,Delayed
5,18,1,6,4,Delayed
20,7,1,7,5,Delayed
2,8,6,5,5,Successful
6,15,5,6,4,Successful
22,14,4,5,4,Delayed
11,9,3,9,4,Delayed
16,11,1,6,2,Delayed
16,10,6,8,4,Delayed
1,19,2,2,3,Delayed
9,3,8,9,1,Delayed
6,6,5,5,4,Successful
16,6,7,7,1,Delayed
3,7,2,1,2,Delayed
20,9,8,5,1,Delayed
4,17,2,2,2,Delayed
19,14,4,6,3,Delayed
3,2,1,1,2,Delayed
19,18,5,3,2,Delayed
20,8,9,5,5,Successful
7,14,1,4,4,Delayed
20,5,9,3,4,Successful
9,5,8,5,3,Successful
1,7,6,8,3,Delayed
8,13,7,4,4,Successful
7,8,3,1,5,Delayed
18,11,1,7,4,Delayed
8,8,5,8,5,Delayed
1,4,2,3,3,Delayed
11,14,5,6,1,Delayed
18,14,8,2,3,Successful
23,19,9,7,3,Successful
10,9,2,8,2,Delayed
3,10,3,6,2,Delayed
7,8,3,6,2,Delayed
16,2,1,5,2,Delayed
16,4,8,8,5,Delayed
20,14,6,1,4,Successful
17,18,8,4,1,Delayed
2,2,9,4,3,Successful
1,7,5,3,5,Successful
16,7,3,3,1,Delayed
12,13,5,4,5,Successful
5,14,5,1,5,Successful
5,14,5,2,3,Successful
23,16,3,9,4,Delayed
9,17,4,2,2,Delayed
9,12,9,5,4,Successful
3,6,9,9,3,Delayed
19,5,2,9,3,Delayed
16,4,8,8,3,Delayed
16,19,8,1,1,Delayed
3,16,7,1,4,Successful
20,10,8,9,4,Delayed
22,18,3,8,5,Delayed
1,15,6,9,5,Delayed
20,16,1,7,5,Delayed
11,2,7,3,3,Successful
17,4,1,3,4,Delayed
8,17,9,2,3,Successful
4,12,1,5,1,Delayed
6,13,1,3,5,Delayed
8,11,7,6,3,Successful
20,17,2,2,3,Delayed
3,9,5,3,1,Delayed
16,7,8,5,2,Delayed
3,13,8,1,4,Successful
18,9,3,1,2,Delayed
14,5,7,9,5,Delayed
18,9,3,7,3,Delayed
2,19,6,1,1,Delayed
22,6,6,8,1,Delayed
3,10,3,3,4,Delayed
16,5,7,8,2,Delayed
9,18,3,5,4,Delayed
4,10,8,1,3,Successful
1,2,4,7,4,Delayed
4,14,1,5,1,Delayed
1,17,4,6,1,Delayed
14,14,7,6,5,Successful
21,15,4,8,5,Delayed
16,4,6,9,3,Delayed
20,7,9,2,2,Delayed
8,19,1,9,4,Delayed
7,6,5,9,3,Delayed
3,16,7,7,5,Successful
17,3,1,1,4,Delayed
