Client_ID,Employees,Annual_Revenue,Projects_Completed,Years_With_Company,Customer_Satisfaction
1001,122,585822,22,2,88
1002,455,537879,28,7,65
1003,368,614685,2,14,94
1004,290,832038,42,10,96
1005,126,403531,45,3,83
1006,91,313160,6,7,88
1007,208,629879,28,12,90
1008,40,270884,28,10,94
1009,122,73247,44,9,92
1010,141,74300,44,4,80
1011,486,517281,20,12,91
1012,234,657086,30,1,82
1013,350,583556,11,2,92
1014,478,398951,28,1,62
1015,107,324329,25,14,77
1016,392,769064,39,12,84
1017,119,792139,33,5,90
1018,379,482315,1,5,62
1019,171,976075,27,11,99
1020,150,566588,13,7,83
1021,169,286584,41,9,91
1022,328,612332,3,9,81
1023,277,887646,39,3,82
1024,363,426896,6,3,61
1025,433,98984,8,3,86
1026,313,352918,27,4,61
1027,405,314712,9,8,85
1028,211,170151,37,6,76
1029,463,505808,33,8,99
1030,296,183767,42,1,92
1031,180,698663,44,8,68
1032,479,753550,24,4,98
1033,333,186330,15,11,88
1034,41,530754,32,1,85
1035,272,351648,32,8,94
1036,255,738519,24,4,84
1037,364,63986,41,6,83
1038,68,636146,49,8,72
1039,494,179312,49,4,66
1040,78,62666,12,14,95
1041,189,350804,39,3,79
1042,495,184633,2,14,60
1043,207,338998,3,9,67
1044,483,900937,49,3,75
1045,290,678776,37,9,73
1046,209,757611,49,13,71
1047,465,334806,17,2,82
1048,194,844824,49,14,74
1049,465,80535,2,2,87
1050,70,425713,2,2,93
1051,383,888688,28,6,61
1052,74,401279,23,3,91
1053,263,963910,37,13,82
1054,339,871654,32,9,81
1055,150,651661,33,4,84
1056,326,697972,1,1,81
1057,154,539570,19,4,81
1058,40,506551,2,1,65
1059,348,323109,44,14,74
1060,186,74538,26,5,96
1061,293,944498,32,4,92
1062,407,251664,6,8,67
1063,108,541234,32,8,64
1064,335,949684,4,7,98
1065,33,189182,11,3,63
1066,261,522525,17,1,65
1067,284,208338,38,1,91
1068,365,234064,24,12,89
1069,72,264020,5,11,94
1070,405,673094,34,3,99
1071,359,974414,6,6,75
1072,111,947421,22,7,72
1073,386,665270,11,6,89
1074,463,695914,48,14,78
1075,474,169176,16,14,76
1076,447,967710,33,6,78
1077,283,268126,9,6,87
1078,450,268969,6,13,85
1079,54,172409,16,3,96
1080,225,597707,29,6,85
1081,100,303618,3,8,82
1082,439,819598,20,11,68
1083,69,100015,36,11,71
1084,379,822838,19,2,60
1085,407,172096,26,5,60
1086,21,681347,3,14,93
1087,409,235340,19,1,91
1088,73,160687,20,12,84
1089,125,924371,32,1,99
1090,279,461357,7,5,60
1091,329,785716,41,12,75
1092,496,155878,33,13,98
1093,210,777270,40,3,64
1094,421,248286,39,4,81
1095,237,823290,18,3,88
1096,63,824684,40,1,62
1097,181,214899,1,1,71
1098,221,374767,11,12,85
1099,465,911882,28,12,75
1100,289,929858,25,14,96
