Client_ID,Employees,Annual_Revenue,Projects_Completed,Years_With_Company,Customer_Satisfaction,Project_Status
1001,122,663333,37,7,62,Failed
1002,455,608986,22,6,92,Completed
1003,368,160078,29,12,52,Failed
1004,290,917055,14,1,82,Completed
1005,126,72671,28,5,55,Failed
1006,91,468400,5,5,99,Completed
1007,208,405528,47,6,59,Failed
1008,40,660490,49,3,54,Failed
1009,122,101663,30,5,72,Delayed
1010,141,65708,46,7,59,Failed
1011,486,928338,5,5,93,Completed
1012,234,361955,12,5,51,Failed
1013,350,183883,16,5,62,Failed
1014,478,368394,26,10,89,Completed
1015,107,162547,26,10,51,Failed
1016,392,960681,48,3,69,Delayed
1017,119,609042,21,1,50,Failed
1018,379,801102,39,5,86,Completed
1019,171,812002,36,14,58,Failed
1020,150,192483,33,9,66,Delayed
1021,169,708271,30,14,58,Failed
1022,328,264835,37,1,60,Failed
1023,277,451896,23,3,64,Failed
1024,363,134896,10,13,73,Delayed
1025,433,527095,5,13,87,Completed
1026,313,121295,36,4,84,Completed
1027,405,793974,34,14,79,Delayed
1028,211,937121,31,1,80,Delayed
1029,463,323255,10,1,98,Completed
1030,296,349648,19,8,54,Failed
1031,180,707162,32,2,93,Completed
1032,479,58155,1,12,99,Completed
1033,333,516872,5,8,63,Failed
1034,41,875816,45,7,60,Failed
1035,272,424705,4,10,58,Failed
1036,255,621542,16,10,83,Completed
1037,364,858350,24,2,61,Failed
1038,68,660269,16,6,84,Completed
1039,494,604594,2,6,84,Completed
1040,78,197718,49,3,50,Failed
1041,189,358987,28,11,89,Completed
1042,495,695263,32,2,71,Delayed
1043,207,408745,27,12,78,Delayed
1044,483,157512,20,1,57,Failed
1045,290,197443,24,6,60,Failed
1046,209,520587,12,12,90,Completed
1047,465,423616,35,5,86,Completed
1048,194,707409,33,14,63,Failed
1049,465,736976,33,14,79,Delayed
1050,70,415871,43,11,84,Completed
1051,383,425037,37,9,70,Delayed
1052,74,857364,12,1,86,Completed
1053,263,167796,3,7,54,Failed
1054,339,341999,1,5,68,Delayed
1055,150,242506,33,5,63,Failed
1056,326,748376,40,14,75,Delayed
1057,154,319544,10,2,53,Failed
1058,40,430002,43,11,74,Delayed
1059,348,748002,44,3,94,Completed
1060,186,589439,29,7,91,Completed
1061,293,640978,13,6,74,Delayed
1062,407,578787,12,12,67,Delayed
1063,108,580583,31,2,89,Completed
1064,335,957317,46,6,57,Failed
1065,33,438215,2,2,88,Completed
1066,261,371184,35,2,89,Completed
1067,284,848615,23,2,63,Failed
1068,365,472515,17,14,81,Completed
1069,72,718234,26,11,87,Completed
1070,405,428480,8,3,82,Completed
1071,359,82711,29,2,72,Delayed
1072,111,841971,26,4,64,Failed
1073,386,551157,10,9,82,Completed
1074,463,234423,26,6,74,Delayed
1075,474,566349,34,1,66,Delayed
1076,447,753714,41,8,82,Completed
1077,283,962495,7,12,96,Completed
1078,450,707917,4,14,51,Failed
1079,54,874792,45,7,63,Failed
1080,225,787378,11,10,89,Completed
1081,100,183272,29,3,89,Completed
1082,439,817836,36,1,88,Completed
1083,69,752335,25,5,55,Failed
1084,379,857789,21,13,55,Failed
1085,407,693409,36,4,52,Failed
1086,21,127505,10,10,56,Failed
1087,409,52869,37,8,57,Failed
1088,73,831474,9,1,91,Completed
1089,125,504351,24,10,64,Failed
1090,279,362252,35,1,96,Completed
1091,329,686584,49,12,78,Delayed
1092,496,668467,35,4,82,Completed
1093,210,140272,48,8,79,Delayed
1094,421,88467,36,5,88,Completed
1095,237,859760,18,2,76,Delayed
1096,63,927844,49,6,85,Completed
1097,181,530047,39,5,78,Delayed
1098,221,709347,32,2,87,Completed
1099,465,108871,24,13,82,Completed
1100,289,989903,23,14,86,Completed
1101,370,178391,32,11,76,Delayed
1102,323,489430,37,11,82,Completed
1103,290,660704,12,11,53,Failed
1104,475,906703,49,3,71,Delayed
1105,481,880496,13,9,51,Failed
1106,234,306687,23,7,59,Failed
1107,271,775451,25,7,54,Failed
1108,209,157450,35,11,59,Failed
1109,315,221890,41,6,82,Completed
1110,232,488741,30,8,87,Completed
1111,227,331974,17,4,62,Failed
1112,256,984933,49,8,80,Delayed
1113,357,450109,20,4,96,Completed
1114,386,166381,48,8,85,Completed
1115,72,523125,25,9,94,Completed
1116,299,621621,22,3,73,Delayed
1117,429,184508,13,3,64,Failed
1118,236,779650,19,11,78,Delayed
1119,271,912645,49,13,57,Failed
1120,207,449111,36,2,54,Failed
1121,399,200810,12,13,78,Delayed
1122,60,342890,41,10,96,Completed
1123,176,623665,19,3,53,Failed
1124,34,890477,12,3,61,Failed
1125,320,410032,9,5,94,Completed
1126,84,419599,7,5,51,Failed
1127,364,710960,28,2,76,Delayed
1128,346,800020,14,12,80,Delayed
1129,28,929611,31,10,85,Completed
1130,363,221836,19,13,85,Completed
1131,148,779903,47,6,75,Delayed
1132,155,95714,16,5,92,Completed
1133,491,677234,5,6,76,Delayed
1134,82,946048,35,1,54,Failed
1135,158,680271,12,5,69,Delayed
1136,100,516960,25,9,60,Failed
1137,411,761851,21,12,59,Failed
1138,182,174123,36,10,89,Completed
1139,438,986093,23,14,87,Completed
1140,308,355628,16,2,55,Failed
1141,398,132989,39,1,57,Failed
1142,280,348356,45,14,72,Delayed
1143,250,879957,42,10,96,Completed
1144,60,228274,39,13,75,Delayed
1145,47,737995,14,11,95,Completed
1146,154,375352,31,9,92,Completed
1147,220,870260,5,10,61,Failed
1148,347,461927,35,9,75,Delayed
1149,287,839852,23,9,62,Failed
1150,437,933184,29,6,89,Completed
1151,52,181373,43,8,67,Delayed
1152,67,488452,11,14,74,Delayed
1153,426,165294,18,11,82,Completed
1154,81,509451,47,13,96,Completed
1155,235,698307,12,1,89,Completed
1156,312,115726,9,10,92,Completed
1157,118,191564,10,4,61,Failed
1158,191,427812,44,1,93,Completed
1159,379,318246,17,8,85,Completed
1160,233,755696,38,1,97,Completed
1161,494,168015,7,3,53,Failed
1162,54,790674,46,13,54,Failed
1163,468,304079,13,4,86,Completed
1164,246,600929,40,8,57,Failed
1165,120,739944,42,6,91,Completed
1166,450,738105,9,14,98,Completed
1167,481,563758,27,10,77,Delayed
1168,150,990597,2,12,80,Delayed
1169,276,415890,5,7,58,Failed
1170,24,495101,29,14,78,Delayed
1171,237,86631,37,8,63,Failed
1172,274,816577,38,2,89,Completed
1173,417,122991,19,13,90,Completed
1174,378,54014,8,10,71,Delayed
1175,302,323237,48,14,60,Failed
1176,412,68070,45,11,72,Delayed
1177,226,872209,1,8,50,Failed
1178,34,106958,22,3,95,Completed
1179,365,132074,17,7,86,Completed
1180,61,585017,7,3,70,Delayed
1181,399,805073,25,7,75,Delayed
1182,480,226089,45,14,95,Completed
1183,198,247392,4,11,85,Completed
1184,82,208823,36,12,72,Delayed
1185,371,680152,6,13,50,Failed
1186,250,443002,31,2,89,Completed
1187,260,783429,19,10,64,Failed
1188,71,548863,44,6,70,Delayed
1189,115,417654,39,3,96,Completed
1190,407,629036,27,3,58,Failed
1191,241,580089,10,9,58,Failed
1192,426,200262,26,7,59,Failed
1193,250,492905,19,5,75,Delayed
1194,256,285362,39,12,90,Completed
1195,162,494209,3,10,84,Completed
1196,190,603880,45,7,74,Delayed
1197,48,847079,13,9,75,Delayed
1198,55,714076,28,1,60,Failed
1199,32,269963,20,7,87,Completed
1200,179,530761,28,6,51,Failed
1201,346,298710,8,10,56,Failed
1202,206,270984,41,14,67,Delayed
1203,262,947059,39,12,76,Delayed
1204,105,906748,1,9,83,Completed
1205,303,832355,3,1,76,Delayed
1206,85,314512,13,13,66,Delayed
1207,189,651863,28,4,92,Completed
1208,64,318799,49,9,93,Completed
1209,81,287549,25,4,73,Delayed
1210,460,644319,33,10,74,Delayed
1211,153,534299,38,3,56,Failed
1212,303,662210,6,9,55,Failed
1213,47,498982,44,13,73,Delayed
1214,127,174046,45,2,82,Completed
1215,63,456619,32,4,98,Completed
1216,359,82097,45,6,78,Delayed
1217,305,716326,47,2,92,Completed
1218,465,699150,21,8,71,Delayed
1219,350,280229,16,8,75,Delayed
1220,147,168834,21,1,77,Delayed
1221,367,143848,11,12,99,Completed
1222,492,102921,37,3,70,Delayed
1223,250,755086,36,10,98,Completed
1224,209,700429,35,9,56,Failed
1225,244,755660,19,5,66,Delayed
1226,404,334821,20,6,69,Delayed
1227,396,105609,18,4,90,Completed
1228,302,277897,47,10,98,Completed
1229,465,81024,41,2,69,Delayed
1230,140,120313,49,11,71,Delayed
1231,135,439957,14,8,77,Delayed
1232,480,234078,15,11,89,Completed
1233,252,407429,31,13,98,Completed
1234,278,982842,1,6,56,Failed
1235,378,511243,3,5,50,Failed
1236,217,163632,16,9,81,Completed
1237,475,987012,23,1,62,Failed
1238,430,301451,11,5,79,Delayed
1239,156,53051,12,6,72,Delayed
1240,337,754107,10,5,68,Delayed
1241,184,426836,32,6,81,Completed
1242,244,661523,16,6,79,Delayed
1243,326,771772,8,7,78,Delayed
1244,253,239407,38,4,98,Completed
1245,191,499395,12,14,94,Completed
1246,171,999597,24,11,78,Delayed
1247,482,512894,28,14,79,Delayed
1248,334,261810,8,14,65,Failed
1249,393,777975,28,14,89,Completed
1250,179,123523,36,8,68,Delayed
1251,115,810463,26,7,67,Delayed
1252,491,144476,8,9,50,Failed
1253,252,283841,28,7,63,Failed
1254,199,853451,28,3,96,Completed
1255,132,920045,37,3,99,Completed
1256,337,272866,41,8,51,Failed
1257,461,136672,36,5,77,Delayed
1258,71,648135,27,4,98,Completed
1259,287,394894,17,8,99,Completed
1260,314,784994,9,6,79,Delayed
1261,405,78251,33,2,87,Completed
1262,406,677769,20,4,53,Failed
1263,132,424710,13,12,50,Failed
1264,120,600233,28,11,57,Failed
1265,132,927284,48,4,78,Delayed
1266,459,82217,29,6,88,Completed
1267,100,58308,13,6,52,Failed
1268,206,318093,46,1,81,Completed
1269,132,233062,35,14,59,Failed
1270,21,444366,6,8,59,Failed
1271,149,794840,18,6,68,Delayed
1272,239,150235,5,3,95,Completed
1273,73,124740,47,14,83,Completed
1274,362,428496,25,9,82,Completed
1275,243,903049,2,2,72,Delayed
1276,244,800201,10,11,77,Delayed
1277,404,853328,30,8,81,Completed
1278,422,967230,45,10,99,Completed
1279,145,227247,5,3,56,Failed
1280,149,713165,33,13,78,Delayed
1281,72,579525,1,12,57,Failed
1282,191,70056,18,5,50,Failed
1283,237,226615,32,6,52,Failed
1284,179,237628,47,10,73,Delayed
1285,217,688836,49,6,72,Delayed
1286,435,423632,11,4,57,Failed
1287,266,184415,21,3,96,Completed
1288,343,456716,26,4,86,Completed
1289,458,496438,25,1,52,Failed
1290,222,603663,22,4,82,Completed
1291,203,715022,27,1,77,Delayed
1292,142,591252,49,12,96,Completed
1293,420,687717,13,1,57,Failed
1294,274,302764,33,10,83,Completed
1295,313,764998,34,14,84,Completed
1296,299,516882,41,6,81,Completed
1297,344,790427,35,5,73,Delayed
1298,391,562153,1,14,63,Failed
1299,117,117215,21,11,81,Completed
1300,217,905474,48,4,95,Completed
